Epoch,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
1,3.0154,0.5796,0.5991,0.8024
2,0.9009,0.7502,0.5188,0.8202
3,0.6850,0.7720,0.5268,0.8478
4,0.5910,0.8027,0.4937,0.8518
5,0.5446,0.8101,0.4077,0.8715
6,0.5460,0.8220,0.3643,0.8696
7,0.4425,0.8388,0.3537,0.8656
8,0.4331,0.8393,0.3935,0.8676
9,0.3941,0.8526,0.3954,0.8794
10,0.3982,0.8561,0.3199,0.8893
11,0.3938,0.8586,0.2747,0.9111
12,0.3768,0.8675,0.2943,0.9012
13,0.3790,0.8660,0.2739,0.9051
14,0.3818,0.8630,0.2735,0.8874
15,0.3750,0.8650,0.2881,0.8972
16,0.3345,0.8813,0.2492,0.8933
17,0.3117,0.8848,0.2640,0.9012
18,0.2926,0.8858,0.3035,0.8775
19,0.3042,0.8858,0.3282,0.8854
20,0.3210,0.8843,0.2902,0.8953
21,0.3070,0.8942,0.3334,0.8715
22,0.3004,0.8922,0.3031,0.8874
23,0.2725,0.8981,0.3034,0.8735
24,0.2864,0.8947,0.2729,0.8893
25,0.2883,0.8887,0.2686,0.8755
26,0.2740,0.8986,0.3251,0.8656
27,0.2569,0.9026,0.3085,0.8676
28,0.2895,0.9075,0.3153,0.8656
29,0.2474,0.9090,0.3670,0.8656
30,0.2399,0.9085,0.3108,0.8834
31,0.2746,0.8991,0.3134,0.8834
32,0.2509,0.9135,0.2958,0.8814
33,0.2618,0.9050,0.2945,0.8834
34,0.2662,0.9001,0.2745,0.8972
35,0.2310,0.9130,0.3599,0.8676
36,0.2438,0.9065,0.3080,0.8814
37,0.2275,0.9144,0.2739,0.8953
38,0.2209,0.9120,0.2923,0.8874
39,0.2281,0.9194,0.3036,0.8814
40,0.2252,0.9135,0.2831,0.8913
41,0.2357,0.9130,0.2289,0.9071
42,0.2090,0.9204,0.2376,0.9012
43,0.1930,0.9263,0.2413,0.8953
44,0.2086,0.9174,0.2301,0.8992
45,0.2093,0.9199,0.2716,0.8992
46,0.2141,0.9194,0.2425,0.9051
47,0.2104,0.9219,0.2256,0.9229
48,0.2219,0.9174,0.2505,0.9071
49,0.2187,0.9189,0.2408,0.9150
50,0.1823,0.9332,0.2545,0.9051
51,0.1958,0.9268,0.2557,0.9071
52,0.1949,0.9288,0.2785,0.8874
53,0.1951,0.9347,0.2726,0.8913
54,0.2064,0.9209,0.2462,0.8992
55,0.2136,0.9258,0.2577,0.8972
56,0.1878,0.9308,0.2483,0.8992
57,0.2053,0.9224,0.2550,0.9032
58,0.1963,0.9233,0.2889,0.8874
59,0.1819,0.9357,0.2824,0.8953
60,0.1800,0.9313,0.2827,0.9032
61,0.1955,0.9278,0.3088,0.8913
62,0.1923,0.9288,0.2743,0.8972
63,0.1754,0.9332,0.2726,0.8972
64,0.1815,0.9327,0.2357,0.9190
65,0.1711,0.9397,0.2332,0.9150
66,0.1887,0.9273,0.2773,0.9032
67,0.1832,0.9313,0.2243,0.9170
68,0.1891,0.9342,0.2291,0.9130
69,0.1738,0.9337,0.2560,0.8953
70,0.1930,0.9332,0.2457,0.9032
71,0.1835,0.9248,0.2372,0.9051
72,0.1651,0.9416,0.2132,0.9091
73,0.2026,0.9199,0.2192,0.9111
74,0.1802,0.9313,0.2373,0.9071
75,0.1952,0.9253,0.2137,0.9170
76,0.1728,0.9288,0.2498,0.9091
77,0.1837,0.9263,0.2346,0.9091
78,0.1618,0.9402,0.1942,0.9289
79,0.1959,0.9238,0.1934,0.9190
80,0.1766,0.9327,0.2201,0.9032
81,0.1692,0.9377,0.2339,0.9150
82,0.1617,0.9377,0.2213,0.9111
83,0.1556,0.9456,0.2005,0.9170
84,0.1684,0.9318,0.2236,0.9051
85,0.1786,0.9318,0.2330,0.8953
86,0.1766,0.9322,0.2469,0.8972
87,0.1800,0.9308,0.2423,0.8992
88,0.1373,0.9500,0.2347,0.8972
89,0.1852,0.9327,0.2187,0.9111
90,0.1659,0.9337,0.2411,0.9032
91,0.1397,0.9421,0.2461,0.9071
92,0.1634,0.9421,0.2247,0.9091
93,0.1541,0.9387,0.2339,0.9012
94,0.1527,0.9446,0.2055,0.9209
95,0.1710,0.9411,0.2206,0.9012
96,0.1657,0.9347,0.2071,0.9032
97,0.1523,0.9451,0.2675,0.8992
98,0.1430,0.9461,0.2929,0.8933
99,0.1732,0.9347,0.2268,0.8953
100,0.1684,0.9372,0.2389,0.8972
101,0.1308,0.9466,0.2574,0.9071
102,0.1533,0.9436,0.2819,0.8953
103,0.1397,0.9510,0.2107,0.9111
104,0.1577,0.9431,0.2143,0.9170
105,0.1539,0.9362,0.2333,0.9051
106,0.1306,0.9515,0.2167,0.9032
107,0.1291,0.9505,0.2078,0.9209
108,0.1569,0.9387,0.1961,0.9249
109,0.1462,0.9510,0.2253,0.9051
110,0.1489,0.9486,0.2159,0.9130
111,0.1393,0.9496,0.2380,0.9209
112,0.1527,0.9407,0.2450,0.9071
113,0.1512,0.9416,0.2342,0.9091
114,0.1440,0.9421,0.2391,0.9170
115,0.1707,0.9436,0.2162,0.9190
116,0.1455,0.9496,0.2328,0.9150
117,0.1622,0.9411,0.2456,0.9071
